CODE,ONHAND,,,,,,,,,,,,,,,,
4854,0,,,,,,,,,,,,,,,,
4862,0,,,,,,,,,,,,,,,,
4864,0,,,,,,,,,,,,,,,,
4865,0,,,,,,,,,,,,,,,,
4868,0,,,,,,,,,,,,,,,,
4871,0,,,,,,,,,,,,,,,,
4873,0,,,,,,,,,,,,,,,,
4876,0,,,,,,,,,,,,,,,,
4899,0,,,,,,,,,,,,,,,,
05/TN006-2,1,,,,,,,,,,,,,,,,
05/TN011-4,0,,,,,,,,,,,,,,,,
5001101,0,,,,,,,,,,,,,,,,
5022801,0,,,,,,,,,,,,,,,,
505,25,,,,,,,,,,,,,,,,
5052502,0,,,,,,,,,,,,,,,,
05061415-M,0,,,,,,,,,,,,,,,,
05061415-S,0,,,,,,,,,,,,,,,,
05063405-M,0,,,,,,,,,,,,,,,,
05063405-S,0,,,,,,,,,,,,,,,,
05079805-X,16,,,,,,,,,,,,,,,,
508,1,,,,,,,,,,,,,,,,
05082501-S,1,,,,,,,,,,,,,,,,
5084501,0,,,,,,,,,,,,,,,,
05087309-L,1,,,,,,,,,,,,,,,,
05118201-L,0,,,,,,,,,,,,,,,,
05118201-XL,0,,,,,,,,,,,,,,,,
05121301-M,0,,,,,,,,,,,,,,,,
0513-055J-N-24,3,,,,,,,,,,,,,,,,
0513-055J-R-28,2,,,,,,,,,,,,,,,,
0515-32,0,,,,,,,,,,,,,,,,
05151203-M,0,,,,,,,,,,,,,,,,
05151203-S,1,,,,,,,,,,,,,,,,
05151301-S,0,,,,,,,,,,,,,,,,
05151402-L,0,,,,,,,,,,,,,,,,
05151402-M,0,,,,,,,,,,,,,,,,
05151402-S,0,,,,,,,,,,,,,,,,
0516-24030M-42,1,,,,,,,,,,,,,,,,
0516-24030M-44,0,,,,,,,,,,,,,,,,
0517-11/12,0,,,,,,,,,,,,,,,,
0517-5/6,0,,,,,,,,,,,,,,,,
0517-9/10,0,,,,,,,,,,,,,,,,
05177-066-M-10,0,,,,,,,,,,,,,,,,
5191701,0,,,,,,,,,,,,,,,,
05195302-L,0,,,,,,,,,,,,,,,,
52014,0,,,,,,,,,,,,,,,,
52015,0,,,,,,,,,,,,,,,,
052015N,0,,,,,,,,,,,,,,,,
05204502-L,0,,,,,,,,,,,,,,,,
5218701,0,,,,,,,,,,,,,,,,
05221701-L,0,,,,,,,,,,,,,,,,
05221701-XL,0,,,,,,,,,,,,,,,,
05221702-L,0,,,,,,,,,,,,,,,,
05221702-XL,0,,,,,,,,,,,,,,,,
05228702-L,0,,,,,,,,,,,,,,,,
05228702-M,1,,,,,,,,,,,,,,,,
05228702-S,0,,,,,,,,,,,,,,,,
5245104,0,,,,,,,,,,,,,,,,
5253801,1,,,,,,,,,,,,,,,,
5288905,2,,,,,,,,,,,,,,,,
5299005,0,,,,,,,,,,,,,,,,
05326101-L,1,,,,,,,,,,,,,,,,
05326101-M,1,,,,,,,,,,,,,,,,
05326101-XL,1,,,,,,,,,,,,,,,,
5326401,1,,,,,,,,,,,,,,,,
5326402,3,,,,,,,,,,,,,,,,
5328701,3,,,,,,,,,,,,,,,,
5336906,5,,,,,,,,,,,,,,,,
5336908,2,,,,,,,,,,,,,,,,
5358001,20,,,,,,,,,,,,,,,,
05395A-10,0,,,,,,,,,,,,,,,,
05540-051-M-6,0,,,,,,,,,,,,,,,,
05540-051-M-8,0,,,,,,,,,,,,,,,,
05540-260-M-10,0,,,,,,,,,,,,,,,,
5561,0,,,,,,,,,,,,,,,,
5616,0,,,,,,,,,,,,,,,,
05618C-10,0,,,,,,,,,,,,,,,,
5628,0,,,,,,,,,,,,,,,,
5630,0,,,,,,,,,,,,,,,,
5697,0,,,,,,,,,,,,,,,,
5714,0,,,,,,,,,,,,,,,,
5723,0,,,,,,,,,,,,,,,,
5728,0,,,,,,,,,,,,,,,,
5735,0,,,,,,,,,,,,,,,,
5765,0,,,,,,,,,,,,,,,,
5767,0,,,,,,,,,,,,,,,,
5797,0,,,,,,,,,,,,,,,,
5808,1,,,,,,,,,,,,,,,,
05810A-10,0,,,,,,,,,,,,,,,,
5819,0,,,,,,,,,,,,,,,,
5820,0,,,,,,,,,,,,,,,,
5834,0,,,,,,,,,,,,,,,,
5851,0,,,,,,,,,,,,,,,,
5852,0,,,,,,,,,,,,,,,,
5855,0,,,,,,,,,,,,,,,,
5863,0,,,,,,,,,,,,,,,,
05980-261-M-10,0,,,,,,,,,,,,,,,,
05980-261-M-6,0,,,,,,,,,,,,,,,,
05980-261-M-7,0,,,,,,,,,,,,,,,,
05980-261-M-8,0,,,,,,,,,,,,,,,,
05980-261-M-9,0,,,,,,,,,,,,,,,,
05980-425-M-10,0,,,,,,,,,,,,,,,,
